match_id,game_datetime,game_length,game_version,queue_id,tft_game_type,tft_set_core_name,tft_set_number,placement,level,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players,win,companion,traits,units
SG2_134110128,1.77066E+12,2259.65625,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,5,9,1,33,2,2003.823486,101,FALSE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_AurelionSolUnique(units=1,style=3,tier=1/1); TFT16_DarkChild(units=1,style=3,tier=1/1); TFT16_Defender(units=2,style=1,tier=1/3); TFT16_Explorer(units=1,style=0,tier=0/3); TFT16_Ionia(units=1,style=0,tier=0/4); TFT16_Juggernaut(units=2,style=1,tier=1/3); TFT16_Noxus(units=1,style=0,tier=0/4); TFT16_ShyvanaUnique(units=1,style=3,tier=1/1); TFT16_Sorcerer(units=6,style=4,tier=3/3); TFT16_SylasTrait(units=1,style=3,tier=1/1); TFT16_Targon(units=2,style=4,tier=1/1)","TFT16_Neeko(tier=2)[items=][itemNames=]; TFT16_Ahri(tier=2)[items=][itemNames=]; TFT16_Taric(tier=2)[items=][itemNames=TFT_Item_AdaptiveHelm,TFT_Item_GargoyleStoneplate,TFT_Item_Redemption]; TFT16_Swain(tier=2)[items=][itemNames=TFT_Item_NeedlesslyLargeRod,TFT_Item_FrozenHeart]; TFT16_Annie(tier=2)[items=][itemNames=]; TFT16_Shyvana(tier=1)[items=][itemNames=]; TFT16_AurelionSol(tier=1)[items=][itemNames=TFT_Item_JeweledGauntlet,TFT_Item_Leviathan,TFT_Item_Leviathan]; TFT16_Sylas(tier=1)[items=][itemNames=TFT_Item_JeweledGauntlet,TFT_Item_SpearOfShojin,TFT_Item_Bloodthirster]; TFT16_AnnieTibbers(tier=2)[items=][itemNames=]"
SG2_133989965,1.77063E+12,2351.530029,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,4,8,38,31,1,1921.549805,87,TRUE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_AurelionSolUnique(units=1,style=3,tier=1/1); TFT16_DarkChild(units=1,style=3,tier=1/1); TFT16_DarkinWeapon(units=1,style=1,tier=1/3); TFT16_Defender(units=2,style=1,tier=1/3); TFT16_Explorer(units=1,style=0,tier=0/3); TFT16_Juggernaut(units=1,style=0,tier=0/3); TFT16_Noxus(units=1,style=0,tier=0/4); TFT16_Sorcerer(units=6,style=4,tier=3/3); TFT16_SylasTrait(units=1,style=3,tier=1/1); TFT16_Targon(units=3,style=4,tier=1/1)","TFT16_Neeko(tier=2)[items=][itemNames=]; TFT16_Leona(tier=2)[items=][itemNames=]; TFT16_Taric(tier=2)[items=][itemNames=TFT9_Item_OrnnHullbreaker,TFT16_TheDarkinAegis,TFT_Item_GargoyleStoneplate]; TFT16_Swain(tier=2)[items=][itemNames=]; TFT16_Annie(tier=1)[items=][itemNames=TFT_Item_LastWhisper]; TFT16_AurelionSol(tier=1)[items=][itemNames=TFT_Item_Leviathan,TFT_Item_UnstableConcoction,TFT16_Item_SorcererEmblemItem]; TFT16_Sylas(tier=1)[items=][itemNames=TFT_Item_TitansResolve,TFT_Item_UnstableConcoction,TFT_Item_UnstableConcoction]; TFT16_AnnieTibbers(tier=1)[items=][itemNames=TFT_Item_GargoyleStoneplate,TFT_Item_HextechGunblade,TFT_Item_SparringGloves]"
SG2_133870769,1.77057E+12,2174.458984,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,1,9,2,38,4,2166.248047,184,TRUE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_Blacksmith(units=1,style=3,tier=1/1); TFT16_DarkinWeapon(units=1,style=1,tier=1/3); TFT16_Freljord(units=1,style=0,tier=0/3); TFT16_Harvester(units=1,style=3,tier=1/1); TFT16_Juggernaut(units=1,style=0,tier=0/3); TFT16_Magus(units=1,style=0,tier=0/2); TFT16_Rapidfire(units=1,style=0,tier=0/4); TFT16_ShadowIsles(units=5,style=4,tier=4/4); TFT16_ShyvanaUnique(units=1,style=3,tier=1/1); TFT16_Vanquisher(units=2,style=1,tier=1/4); TFT16_Warden(units=5,style=4,tier=4/4)","TFT16_Viego(tier=3)[items=][itemNames=TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT_Item_GuardianAngel]; TFT16_Yorick(tier=2)[items=][itemNames=TFT_Item_WarmogsArmor,TFT_Item_AdaptiveHelm,TFT_Item_JeweledGauntlet]; TFT16_Gwen(tier=1)[items=][itemNames=]; TFT16_Braum(tier=2)[items=][itemNames=]; TFT16_Kalista(tier=2)[items=][itemNames=TFT_Item_Artifact_Dawncore,TFT_Item_LastWhisper,TFT_Item_MadredsBloodrazor]; TFT16_Ornn(tier=1)[items=][itemNames=]; TFT16_Fiddlesticks(tier=1)[items=][itemNames=]; TFT16_Shyvana(tier=1)[items=][itemNames=TFT16_Item_WardenEmblemItem,TFT_Item_Artifact_Mittens]; TFT16_Thresh(tier=2)[items=][itemNames=TFT16_TheDarkinStaff,TFT_Item_Morellonomicon,TFT_Item_StatikkShiv]"
SG2_133864702,1.77057E+12,2127.83374,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,8,8,50,20,0,1153.692993,0,FALSE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_Bilgewater(units=1,style=0,tier=0/4); TFT16_Brawler(units=1,style=0,tier=0/3); TFT16_Defender(units=1,style=0,tier=0/3); TFT16_Demacia(units=1,style=0,tier=0/4); TFT16_Gunslinger(units=1,style=0,tier=0/2); TFT16_Ionia(units=7,style=4,tier=3/4); TFT16_Juggernaut(units=1,style=0,tier=0/3); TFT16_Rapidfire(units=1,style=0,tier=0/4); TFT16_Slayer(units=1,style=0,tier=0/3); TFT16_Sorcerer(units=2,style=1,tier=1/3); TFT16_Warden(units=2,style=1,tier=1/4); TFT16_Yordle(units=1,style=0,tier=0/5)","TFT16_Shen(tier=2)[items=][itemNames=]; TFT16_Jhin(tier=2)[items=][itemNames=]; TFT16_Yasuo(tier=2)[items=][itemNames=TFT16_Item_SorcererEmblemItem,TFT_Item_Bloodthirster,TFT_Item_GargoyleStoneplate]; TFT16_XinZhao(tier=1)[items=][itemNames=]; TFT16_Nautilus(tier=1)[items=][itemNames=]; TFT16_Ahri(tier=1)[items=][itemNames=]; TFT16_Kennen(tier=1)[items=][itemNames=]; TFT16_Yunara(tier=1)[items=][itemNames=TFT_Item_GuinsoosRageblade,TFT_Item_RecurveBow,TFT_Item_PowerGauntlet]"
SG2_133859591,1.77057E+12,2234.131836,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,8,7,57,21,0,1229.684082,0,FALSE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_Defender(units=1,style=0,tier=0/3); TFT16_Explorer(units=3,style=1,tier=1/3); TFT16_Invoker(units=1,style=0,tier=0/2); TFT16_Juggernaut(units=1,style=0,tier=0/3); TFT16_Noxus(units=1,style=0,tier=0/4); TFT16_Slayer(units=1,style=0,tier=0/3); TFT16_Sorcerer(units=2,style=1,tier=1/3); TFT16_Targon(units=3,style=4,tier=1/1); TFT16_Vanquisher(units=1,style=0,tier=0/4)","TFT16_Qiyana(tier=2)[items=][itemNames=]; TFT16_Aphelios(tier=2)[items=][itemNames=]; TFT16_Neeko(tier=3)[items=][itemNames=]; TFT16_Leona(tier=2)[items=][itemNames=TFT_Item_GargoyleStoneplate,TFT16_Item_VanquisherEmblemItem,TFT_Item_BFSword]; TFT16_Milio(tier=2)[items=][itemNames=TFT_Item_Leviathan,TFT_Item_Leviathan,TFT_Item_JeweledGauntlet]; TFT16_Taric(tier=1)[items=][itemNames=]; TFT16_Swain(tier=1)[items=][itemNames=]"
SG2_133729239,1.77054E+12,2289.769531,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,2,9,9,38,1,2281.55127,160,TRUE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_AurelionSolUnique(units=1,style=3,tier=1/1); TFT16_Brawler(units=1,style=0,tier=0/3); TFT16_Defender(units=4,style=2,tier=2/3); TFT16_Demacia(units=2,style=0,tier=0/4); TFT16_Explorer(units=1,style=0,tier=0/3); TFT16_Ionia(units=1,style=0,tier=0/4); TFT16_Juggernaut(units=2,style=1,tier=1/3); TFT16_Noxus(units=1,style=0,tier=0/4); TFT16_ShyvanaUnique(units=1,style=3,tier=1/1); TFT16_Sorcerer(units=6,style=4,tier=3/3); TFT16_SylasTrait(units=1,style=3,tier=1/1); TFT16_Targon(units=3,style=4,tier=1/1)","TFT16_Neeko(tier=2)[items=][itemNames=]; TFT16_Taric(tier=2)[items=][itemNames=TFT16_Item_SorcererEmblemItem,TFT_Item_Redemption,TFT_Item_DragonsClaw]; TFT16_Garen(tier=1)[items=][itemNames=]; TFT16_Lux(tier=1)[items=][itemNames=]; TFT16_Wukong(tier=2)[items=][itemNames=TFT_Item_NightHarvester,TFT_Item_IonicSpark,TFT_Item_RedBuff]; TFT16_Diana(tier=2)[items=][itemNames=]; TFT16_Swain(tier=2)[items=][itemNames=TFT_Item_NightHarvester,TFT_Item_BrambleVest,TFT16_Item_DefenderEmblemItem]; TFT16_Shyvana(tier=1)[items=][itemNames=]; TFT16_AurelionSol(tier=1)[items=][itemNames=TFT16_Item_SorcererEmblemItem,TFT_Item_JeweledGauntlet,TFT_Item_Leviathan]; TFT16_Sylas(tier=2)[items=][itemNames=TFT_Item_ForceOfNature,TFT_Item_JeweledGauntlet,TFT_Item_TitansResolve]"
SG2_133352026,1.77039E+12,2368.570557,Linux Version 16.3.744.1639 (Feb 04 2026/16:23:09) [PUBLIC] <Releases/16.3>,6110,standard,TFTSet4_Act2,4,3,7,49,31,1,1862.040161,75,TRUE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT4_Adept(units=2,style=1,tier=1/3); TFT4_Cultist(units=1,style=0,tier=0/4); TFT4_Divine(units=2,style=1,tier=1/4); TFT4_Duelist(units=5,style=2,tier=2/4); TFT4_Enlightened(units=2,style=1,tier=1/4); TFT4_Exile(units=1,style=1,tier=1/2); TFT4_Mystic(units=2,style=1,tier=1/4); TFT4_Ninja(units=1,style=1,tier=1/2); TFT4_Spirit(units=1,style=0,tier=0/3)","TFT4_Yasuo(tier=3)[items=][itemNames=TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT_Item_Quicksilver]; TFT4_Fiora(tier=2)[items=][itemNames=]; TFT4_Jax(tier=3)[items=][itemNames=TFT_Item_RedBuff,TFT_Item_SpectralGauntlet,TFT_Item_Redemption]; TFT4_Irelia(tier=2)[items=][itemNames=]; TFT4_Yuumi(tier=1)[items=][itemNames=]; TFT4_Kalista(tier=2)[items=][itemNames=TFT_Item_InfinityEdge,TFT_Item_GuinsoosRageblade,TFT_Item_TearOfTheGoddess]; TFT4_Shen(tier=1)[items=][itemNames=TFT_Item_GargoyleStoneplate,TFT_Item_ChainVest]"
SG2_133336428,1.77039E+12,2238.188477,Linux Version 16.3.744.1639 (Feb 04 2026/16:23:09) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,1,9,7,37,3,2229.955322,162,TRUE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_Harvester(units=1,style=3,tier=1/1); TFT16_KindredUnique(units=1,style=3,tier=1/1); TFT16_Magus(units=2,style=1,tier=1/2); TFT16_Piltover(units=2,style=1,tier=1/3); TFT16_Rapidfire(units=2,style=1,tier=1/4); TFT16_ShadowIsles(units=5,style=4,tier=4/4); TFT16_Vanquisher(units=2,style=1,tier=1/4); TFT16_Warden(units=3,style=2,tier=2/4)","TFT16_Viego(tier=3)[items=][itemNames=TFT_Item_TitansResolve,TFT_Item_Bloodthirster,TFT_Item_GuardianAngel]; TFT16_Yorick(tier=2)[items=][itemNames=TFT_Item_WarmogsArmor]; TFT16_Loris(tier=2)[items=][itemNames=]; TFT16_Gwen(tier=2)[items=][itemNames=]; TFT16_Seraphine(tier=2)[items=][itemNames=]; TFT16_Kalista(tier=2)[items=][itemNames=TFT_Item_SpearOfShojin,TFT_Item_LastWhisper,TFT_Item_InfinityEdge]; TFT16_Kindred(tier=2)[items=][itemNames=]; TFT16_Fiddlesticks(tier=2)[items=][itemNames=]; TFT16_Thresh(tier=2)[items=][itemNames=TFT_Item_Bloodthirster,TFT_Item_Redemption,TFT_Item_RapidFireCannon]"
SG2_133326181,1.77039E+12,2355.98584,Linux Version 16.3.744.1639 (Feb 04 2026/16:23:09) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,5,8,34,33,1,2020.958374,93,FALSE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_AurelionSolUnique(units=1,style=3,tier=1/1); TFT16_DarkChild(units=1,style=3,tier=1/1); TFT16_Defender(units=2,style=1,tier=1/3); TFT16_Explorer(units=1,style=0,tier=0/3); TFT16_Ionia(units=1,style=0,tier=0/4); TFT16_Juggernaut(units=2,style=1,tier=1/3); TFT16_Noxus(units=1,style=0,tier=0/4); TFT16_ShyvanaUnique(units=1,style=3,tier=1/1); TFT16_Sorcerer(units=6,style=4,tier=3/3); TFT16_SylasTrait(units=1,style=3,tier=1/1); TFT16_Targon(units=2,style=4,tier=1/1)","TFT16_Neeko(tier=2)[items=][itemNames=]; TFT16_Ahri(tier=2)[items=][itemNames=]; TFT16_Taric(tier=1)[items=][itemNames=TFT_Item_GargoyleStoneplate,TFT_Item_Redemption,TFT_Item_GargoyleStoneplate]; TFT16_Swain(tier=1)[items=][itemNames=TFT_Item_IonicSpark,TFT_Item_RecurveBow,TFT_Item_StatikkShiv]; TFT16_Annie(tier=1)[items=][itemNames=TFT_Item_ForceOfNature,TFT_Item_SpearOfShojin,TFT_Item_SpearOfShojin]; TFT16_Shyvana(tier=1)[items=][itemNames=]; TFT16_AurelionSol(tier=1)[items=][itemNames=TFT_Item_Leviathan,TFT_Item_Leviathan,TFT_Item_JeweledGauntlet]; TFT16_Sylas(tier=1)[items=][itemNames=TFT_Item_GuinsoosRageblade,TFT_Item_JeweledGauntlet,TFT_Item_SpearOfShojin]; TFT16_AnnieTibbers(tier=1)[items=][itemNames=]"
SG2_133307324,1.77038E+12,2025.637573,Linux Version 16.3.744.1639 (Feb 04 2026/16:23:09) [PUBLIC] <Releases/16.3>,1100,standard,TFTSet16,16,4,9,0,33,0,1950.537109,108,TRUE,"{'content_ID': 'b3368207-0065-48e6-a909-0ab69dc58267', 'item_ID': 3015, 'skin_ID': 15, 'species': 'PetGrumpyLion'}","TFT16_AurelionSolUnique(units=1,style=3,tier=1/1); TFT16_DarkChild(units=1,style=3,tier=1/1); TFT16_Defender(units=2,style=1,tier=1/3); TFT16_Explorer(units=1,style=0,tier=0/3); TFT16_Ionia(units=1,style=0,tier=0/4); TFT16_Juggernaut(units=1,style=0,tier=0/3); TFT16_Noxus(units=1,style=0,tier=0/4); TFT16_Sorcerer(units=6,style=4,tier=3/3); TFT16_SylasTrait(units=1,style=3,tier=1/1); TFT16_Targon(units=3,style=4,tier=1/1)","TFT16_Neeko(tier=2)[items=][itemNames=]; TFT16_Ahri(tier=2)[items=][itemNames=]; TFT16_Leona(tier=2)[items=][itemNames=]; TFT16_Taric(tier=2)[items=][itemNames=TFT_Item_IonicSpark,TFT_Item_Artifact_TheIndomitable,TFT_Item_NightHarvester]; TFT16_Swain(tier=1)[items=][itemNames=]; TFT16_Annie(tier=1)[items=][itemNames=TFT_Item_SpearOfShojin,TFT_Item_TearOfTheGoddess,TFT_Item_SpearOfShojin]; TFT16_AurelionSol(tier=1)[items=][itemNames=TFT_Item_Leviathan,TFT_Item_JeweledGauntlet,TFT_Item_Leviathan]; TFT16_Sylas(tier=2)[items=][itemNames=TFT_Item_JeweledGauntlet,TFT_Item_UnstableConcoction,TFT_Item_TitansResolve]; TFT16_AnnieTibbers(tier=1)[items=][itemNames=]"
